Game ID,Home Team,Away Team,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Player ID
,,,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,
202411150TOR,TOR,DET,Daniss Jenkins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,reedpa01
202411150TOR,TOR,DET,Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,swideco01
202411150TOR,TOR,DET,Cole Swider,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,
202411150TOR,TOR,DET,Ochai Agbaji,35:33,4,15,.267,1,5,.200,0,0,,1,2,3,1,2,0,1,3,9,1.9,-4,agbajoc01
202411150TOR,TOR,DET,Gradey Dick,35:13,4,17,.235,1,10,.100,7,7,1.000,0,5,5,0,0,0,3,1,16,3.8,+13,dickgr01
202411150TOR,TOR,DET,Jakob Poeltl,35:01,12,20,.600,0,0,,1,4,.250,10,8,18,3,1,3,1,4,25,26.6,+6,poeltja01
202411150TOR,TOR,DET,RJ Barrett,34:30,6,18,.333,2,6,.333,8,9,.889,3,3,6,7,0,1,1,1,22,18.6,+14,barrerj01
202411150TOR,TOR,DET,Davion Mitchell,32:49,2,9,.222,1,2,.500,0,0,,1,5,6,5,3,0,2,1,5,5.8,+9,mitchda01
202411150TOR,TOR,DET,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,mogbojo01
202411150TOR,TOR,DET,Jonathan Mogbo,16:00,0,3,.000,0,1,.000,0,0,,1,3,4,2,1,0,1,0,0,0.9,-6,bouchch01
202411150TOR,TOR,DET,Chris Boucher,13:58,1,5,.200,0,2,.000,0,0,,1,6,7,1,0,2,2,0,2,1.5,-10,battlja01
202411150TOR,TOR,DET,Jamison Battle,13:53,3,4,.750,3,4,.750,0,0,,0,1,1,0,0,0,0,0,9,7.7,-27,sheadja01
202411150TOR,TOR,DET,Jamal Shead,10:28,2,4,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,2,4,2.2,-17,fernabr01
202411150TOR,TOR,DET,Bruno Fernando,10:27,1,2,.500,0,0,,1,2,.500,0,2,2,1,0,0,2,0,3,0.9,0,templga01
202411150TOR,TOR,DET,Garrett Temple,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,+2,quickim01
202411150TOR,TOR,DET,Immanuel Quickley,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,
202411150ATL,ATL,WAS,Bilal Coulibaly,38:16,4,11,.364,0,1,.000,1,2,.500,4,5,9,5,2,0,2,4,9,8.7,-10,coulibi01
