Player,PlayerID,Age,TeamID,GP,PTS,REB,AST,STL,BLK,TOV,PF,OffREB,DefREB,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,2P,2PA,2P%,PTS_GP,REB_GP,AST_GP,STL_GP,BLK_GP,MP_GP
Cameron Johnson,johnsca02,28.0,BRK,22.0,406.0,95.0,64.0,19.0,10.0,20.0,42.0,16.0,79.0,717.0,135.0,279.0,0.484,72.0,167.0,0.431,64.0,71.0,0.901,63.0,112.0,0.563,18.454545454545453,4.318181818181818,2.909090909090909,0.8636363636363636,0.45454545454545453,32.59090909090909
Tyrese Haliburton,halibty01,24.0,IND,23.0,405.0,78.0,194.0,30.0,12.0,45.0,39.0,18.0,60.0,809.0,137.0,330.0,0.415,66.0,198.0,0.333,65.0,76.0,0.855,71.0,132.0,0.538,17.608695652173914,3.391304347826087,8.434782608695652,1.3043478260869565,0.5217391304347826,35.17391304347826
Brandon Ingram,ingrabr01,27.0,NOP,17.0,395.0,99.0,90.0,15.0,11.0,67.0,44.0,17.0,82.0,576.0,154.0,329.0,0.468,42.0,113.0,0.372,45.0,53.0,0.849,112.0,216.0,0.519,23.235294117647058,5.823529411764706,5.294117647058823,0.8823529411764706,0.6470588235294118,33.88235294117647
Evan Mobley,mobleev01,23.0,CLE,22.0,393.0,205.0,62.0,24.0,34.0,48.0,46.0,51.0,154.0,690.0,151.0,276.0,0.547,16.0,46.0,0.348,75.0,94.0,0.798,135.0,230.0,0.587,17.863636363636363,9.318181818181818,2.8181818181818183,1.0909090909090908,1.5454545454545454,31.363636363636363
OG Anunoby,anunoog01,27.0,NYK,22.0,390.0,112.0,44.0,32.0,22.0,27.0,57.0,24.0,88.0,801.0,146.0,295.0,0.495,50.0,128.0,0.391,48.0,57.0,0.842,96.0,167.0,0.575,17.727272727272727,5.090909090909091,2.0,1.4545454545454546,1.0,36.40909090909091
Brandon Miller,millebr02,22.0,CHO,18.0,390.0,94.0,63.0,23.0,13.0,48.0,48.0,18.0,76.0,613.0,137.0,337.0,0.407,73.0,197.0,0.371,43.0,48.0,0.896,64.0,140.0,0.457,21.666666666666668,5.222222222222222,3.5,1.2777777777777777,0.7222222222222222,34.05555555555556
Coby White,whiteco01,24.0,CHI,21.0,384.0,78.0,95.0,24.0,5.0,52.0,50.0,7.0,71.0,682.0,127.0,292.0,0.435,69.0,182.0,0.379,61.0,70.0,0.871,58.0,110.0,0.527,18.285714285714285,3.7142857142857144,4.523809523809524,1.1428571428571428,0.23809523809523808,32.476190476190474
Derrick White,whitede01,30.0,BOS,21.0,381.0,100.0,103.0,17.0,22.0,29.0,52.0,26.0,74.0,721.0,132.0,283.0,0.466,80.0,195.0,0.41,37.0,44.0,0.841,52.0,88.0,0.591,18.142857142857142,4.761904761904762,4.904761904761905,0.8095238095238095,1.0476190476190477,34.333333333333336
Michael Porter Jr.,portemi01,26.0,DEN,20.0,380.0,144.0,54.0,18.0,8.0,26.0,45.0,32.0,112.0,712.0,148.0,291.0,0.509,51.0,124.0,0.411,33.0,49.0,0.673,97.0,167.0,0.581,19.0,7.2,2.7,0.9,0.4,35.6
Malik Beasley,beaslma01,28.0,DET,24.0,376.0,73.0,45.0,18.0,1.0,26.0,33.0,16.0,57.0,685.0,134.0,310.0,0.432,85.0,213.0,0.399,23.0,32.0,0.719,49.0,97.0,0.505,15.666666666666666,3.0416666666666665,1.875,0.75,0.041666666666666664,28.541666666666668
Dennis Schroder,schrode01,31.0,BRK,21.0,375.0,62.0,133.0,25.0,4.0,53.0,51.0,4.0,58.0,712.0,128.0,296.0,0.432,51.0,136.0,0.375,68.0,76.0,0.895,77.0,160.0,0.481,17.857142857142858,2.9523809523809526,6.333333333333333,1.1904761904761905,0.19047619047619047,33.904761904761905
Payton Pritchard,pritcpa01,27.0,BOS,22.0,364.0,70.0,65.0,24.0,3.0,24.0,39.0,24.0,46.0,623.0,123.0,252.0,0.488,83.0,194.0,0.428,35.0,40.0,0.875,40.0,58.0,0.69,16.545454545454547,3.1818181818181817,2.9545454545454546,1.0909090909090908,0.13636363636363635,28.318181818181817
Mikal Bridges,bridgmi01,28.0,NYK,22.0,363.0,80.0,75.0,23.0,11.0,34.0,30.0,21.0,59.0,841.0,151.0,320.0,0.472,49.0,149.0,0.329,12.0,19.0,0.632,102.0,171.0,0.596,16.5,3.6363636363636362,3.409090909090909,1.0454545454545454,0.5,38.22727272727273
Stephen Curry,curryst01,36.0,GSW,16.0,361.0,89.0,106.0,22.0,8.0,55.0,19.0,8.0,81.0,483.0,120.0,263.0,0.456,67.0,160.0,0.419,54.0,57.0,0.947,53.0,103.0,0.515,22.5625,5.5625,6.625,1.375,0.5,30.1875
Jordan Poole,poolejo01,25.0,WAS,18.0,360.0,38.0,90.0,32.0,8.0,60.0,62.0,4.0,34.0,537.0,120.0,275.0,0.436,54.0,133.0,0.406,66.0,78.0,0.846,66.0,142.0,0.465,20.0,2.111111111111111,5.0,1.7777777777777777,0.4444444444444444,29.833333333333332
John Collins,collijo01,27.0,UTA,20.0,356.0,173.0,50.0,24.0,16.0,52.0,60.0,50.0,123.0,583.0,135.0,253.0,0.534,24.0,60.0,0.4,62.0,68.0,0.912,111.0,193.0,0.575,17.8,8.65,2.5,1.2,0.8,29.15
Collin Sexton,sextoco01,26.0,UTA,21.0,355.0,54.0,67.0,15.0,3.0,52.0,49.0,17.0,37.0,595.0,123.0,255.0,0.482,38.0,89.0,0.427,71.0,80.0,0.888,85.0,166.0,0.512,16.904761904761905,2.5714285714285716,3.1904761904761907,0.7142857142857143,0.14285714285714285,28.333333333333332
Jakob Poeltl,poeltja01,29.0,TOR,22.0,352.0,259.0,55.0,24.0,29.0,50.0,83.0,91.0,168.0,719.0,151.0,254.0,0.594,0.0,1.0,0.0,50.0,77.0,0.649,151.0,253.0,0.597,16.0,11.772727272727273,2.5,1.0909090909090908,1.3181818181818181,32.68181818181818
Jalen Suggs,suggsja01,23.0,ORL,23.0,351.0,93.0,92.0,33.0,23.0,63.0,59.0,14.0,79.0,687.0,120.0,293.0,0.41,49.0,156.0,0.314,62.0,67.0,0.925,71.0,137.0,0.518,15.26086956521739,4.043478260869565,4.0,1.434782608695652,1.0,29.869565217391305
Fred VanVleet,vanvlfr01,30.0,HOU,22.0,351.0,92.0,129.0,34.0,10.0,27.0,54.0,13.0,79.0,772.0,124.0,317.0,0.391,54.0,168.0,0.321,49.0,59.0,0.831,70.0,149.0,0.47,15.954545454545455,4.181818181818182,5.863636363636363,1.5454545454545454,0.45454545454545453,35.09090909090909
Tyrese Maxey,maxeyty01,24.0,PHI,14.0,348.0,45.0,67.0,28.0,5.0,27.0,35.0,3.0,42.0,509.0,123.0,301.0,0.409,40.0,131.0,0.305,62.0,72.0,0.861,83.0,170.0,0.488,24.857142857142858,3.2142857142857144,4.785714285714286,2.0,0.35714285714285715,36.357142857142854
Ivica Zubac,zubaciv01,27.0,LAC,24.0,348.0,292.0,57.0,13.0,24.0,50.0,50.0,96.0,196.0,774.0,156.0,259.0,0.602,0.0,0.0,,36.0,69.0,0.522,156.0,259.0,0.602,14.5,12.166666666666666,2.375,0.5416666666666666,1.0,32.25
Kevin Durant,duranke01,36.0,PHO,13.0,335.0,87.0,40.0,7.0,19.0,43.0,22.0,3.0,84.0,464.0,120.0,224.0,0.536,35.0,78.0,0.449,60.0,75.0,0.8,85.0,146.0,0.582,25.76923076923077,6.6923076923076925,3.076923076923077,0.5384615384615384,1.4615384615384615,35.69230769230769
Andrew Wiggins,wiggian01,29.0,GSW,19.0,332.0,86.0,46.0,18.0,14.0,21.0,36.0,30.0,56.0,553.0,113.0,244.0,0.463,43.0,100.0,0.43,63.0,83.0,0.759,70.0,144.0,0.486,17.473684210526315,4.526315789473684,2.4210526315789473,0.9473684210526315,0.7368421052631579,29.105263157894736
Jared McCain,mccaija01,20.0,PHI,20.0,329.0,53.0,51.0,12.0,0.0,31.0,30.0,12.0,41.0,514.0,117.0,250.0,0.468,46.0,120.0,0.383,49.0,56.0,0.875,71.0,130.0,0.546,16.45,2.65,2.55,0.6,0.0,25.7
Lauri Markkanen,markkla01,27.0,UTA,17.0,327.0,111.0,38.0,12.0,2.0,22.0,29.0,28.0,83.0,547.0,103.0,228.0,0.452,45.0,117.0,0.385,76.0,89.0,0.854,58.0,111.0,0.523,19.235294117647058,6.529411764705882,2.235294117647059,0.7058823529411765,0.11764705882352941,32.1764705882353
Myles Turner,turnemy01,28.0,IND,21.0,326.0,155.0,33.0,16.0,44.0,55.0,65.0,27.0,128.0,681.0,118.0,249.0,0.474,43.0,108.0,0.398,47.0,65.0,0.723,75.0,141.0,0.532,15.523809523809524,7.380952380952381,1.5714285714285714,0.7619047619047619,2.0952380952380953,32.42857142857143
Tobias Harris,harrito02,32.0,DET,23.0,325.0,156.0,56.0,20.0,21.0,29.0,47.0,24.0,132.0,747.0,123.0,275.0,0.447,36.0,104.0,0.346,43.0,52.0,0.827,87.0,171.0,0.509,14.130434782608695,6.782608695652174,2.4347826086956523,0.8695652173913043,0.9130434782608695,32.47826086956522
Gradey Dick,dickgr01,21.0,TOR,18.0,323.0,53.0,38.0,17.0,5.0,32.0,39.0,11.0,42.0,583.0,108.0,256.0,0.422,44.0,125.0,0.352,63.0,70.0,0.9,64.0,131.0,0.489,17.944444444444443,2.9444444444444446,2.111111111111111,0.9444444444444444,0.2777777777777778,32.388888888888886
Austin Reaves,reaveau01,26.0,LAL,19.0,318.0,67.0,92.0,20.0,4.0,43.0,41.0,15.0,52.0,641.0,110.0,250.0,0.44,50.0,141.0,0.355,48.0,62.0,0.774,60.0,109.0,0.55,16.736842105263158,3.526315789473684,4.842105263157895,1.0526315789473684,0.21052631578947367,33.73684210526316
Anfernee Simons,simonan01,25.0,POR,19.0,318.0,48.0,84.0,17.0,1.0,48.0,37.0,5.0,43.0,577.0,111.0,276.0,0.402,47.0,142.0,0.331,49.0,55.0,0.891,64.0,134.0,0.478,16.736842105263158,2.526315789473684,4.421052631578948,0.8947368421052632,0.05263157894736842,30.36842105263158
Jarrett Allen,allenja01,26.0,CLE,23.0,317.0,242.0,41.0,23.0,21.0,25.0,29.0,54.0,188.0,683.0,129.0,184.0,0.701,0.0,1.0,0.0,59.0,80.0,0.738,129.0,183.0,0.705,13.782608695652174,10.521739130434783,1.7826086956521738,1.0,0.9130434782608695,29.695652173913043
Jerami Grant,grantje01,30.0,POR,20.0,315.0,70.0,49.0,20.0,21.0,29.0,45.0,9.0,61.0,654.0,102.0,264.0,0.386,44.0,123.0,0.358,67.0,82.0,0.817,58.0,141.0,0.411,15.75,3.5,2.45,1.0,1.05,32.7
Bam Adebayo,adebaba01,27.0,MIA,20.0,311.0,197.0,100.0,33.0,16.0,37.0,40.0,52.0,145.0,695.0,118.0,275.0,0.429,18.0,55.0,0.327,57.0,79.0,0.722,100.0,220.0,0.455,15.55,9.85,5.0,1.65,0.8,34.75
Moritz Wagner,wagnemo01,27.0,ORL,24.0,309.0,124.0,33.0,19.0,11.0,41.0,46.0,35.0,89.0,464.0,112.0,206.0,0.544,19.0,60.0,0.317,66.0,89.0,0.742,93.0,146.0,0.637,12.875,5.166666666666667,1.375,0.7916666666666666,0.4583333333333333,19.333333333333332
Keyonte George,georgke01,21.0,UTA,20.0,308.0,61.0,114.0,13.0,1.0,67.0,37.0,10.0,51.0,636.0,105.0,275.0,0.382,52.0,158.0,0.329,46.0,58.0,0.793,53.0,117.0,0.453,15.4,3.05,5.7,0.65,0.05,31.8
Christian Braun,braunch01,23.0,DEN,20.0,307.0,101.0,37.0,25.0,14.0,29.0,45.0,22.0,79.0,704.0,113.0,198.0,0.571,23.0,53.0,0.434,58.0,74.0,0.784,90.0,145.0,0.621,15.35,5.05,1.85,1.25,0.7,35.2
Josh Hart,hartjo01,29.0,NYK,22.0,306.0,190.0,126.0,31.0,8.0,41.0,52.0,36.0,154.0,818.0,118.0,198.0,0.596,30.0,75.0,0.4,40.0,46.0,0.87,88.0,123.0,0.715,13.909090909090908,8.636363636363637,5.7272727272727275,1.4090909090909092,0.36363636363636365,37.18181818181818
Santi Aldama,aldamsa01,24.0,MEM,23.0,303.0,174.0,75.0,22.0,10.0,31.0,27.0,40.0,134.0,635.0,125.0,239.0,0.523,35.0,97.0,0.361,18.0,24.0,0.75,90.0,142.0,0.634,13.173913043478262,7.565217391304348,3.260869565217391,0.9565217391304348,0.43478260869565216,27.608695652173914
Buddy Hield,hieldbu01,32.0,GSW,21.0,302.0,74.0,32.0,16.0,5.0,24.0,44.0,14.0,60.0,491.0,105.0,236.0,0.445,68.0,159.0,0.428,24.0,26.0,0.923,37.0,77.0,0.481,14.380952380952381,3.5238095238095237,1.5238095238095237,0.7619047619047619,0.23809523809523808,23.38095238095238
Jamal Murray,murraja01,27.0,DEN,17.0,302.0,68.0,106.0,23.0,10.0,32.0,29.0,9.0,59.0,613.0,108.0,257.0,0.42,33.0,99.0,0.333,53.0,66.0,0.803,75.0,158.0,0.475,17.764705882352942,4.0,6.235294117647059,1.3529411764705883,0.5882352941176471,36.05882352941177
Ayo Dosunmu,dosunay01,25.0,CHI,23.0,292.0,89.0,104.0,15.0,10.0,29.0,53.0,16.0,73.0,680.0,113.0,229.0,0.493,27.0,90.0,0.3,39.0,48.0,0.813,86.0,139.0,0.619,12.695652173913043,3.869565217391304,4.521739130434782,0.6521739130434783,0.43478260869565216,29.565217391304348
Dillon Brooks,brookdi01,29.0,HOU,23.0,287.0,82.0,33.0,13.0,5.0,23.0,76.0,28.0,54.0,706.0,106.0,253.0,0.419,47.0,124.0,0.379,28.0,34.0,0.824,59.0,129.0,0.457,12.478260869565217,3.5652173913043477,1.434782608695652,0.5652173913043478,0.21739130434782608,30.695652173913043
Dyson Daniels,daniedy01,21.0,ATL,21.0,285.0,105.0,66.0,64.0,19.0,37.0,58.0,33.0,72.0,706.0,119.0,269.0,0.442,25.0,85.0,0.294,22.0,33.0,0.667,94.0,184.0,0.511,13.571428571428571,5.0,3.142857142857143,3.0476190476190474,0.9047619047619048,33.61904761904762
Jonathan Kuminga,kuminjo01,22.0,GSW,19.0,282.0,82.0,35.0,19.0,9.0,27.0,39.0,20.0,62.0,449.0,107.0,237.0,0.451,22.0,70.0,0.314,46.0,77.0,0.597,85.0,167.0,0.509,14.842105263157896,4.315789473684211,1.8421052631578947,1.0,0.47368421052631576,23.63157894736842
