PlayerID,Player,Team,TeamID
brownmo01,Moses Brown,Indiana Pacers,IND
brunsja01,Jalen Brunson,New York Knicks,NYK
bryanth01,Thomas Bryant,Miami Heat,MIA
bufkiko01,Kobe Bufkin,Atlanta Hawks,ATL
burksal01,Alec Burks,Miami Heat,MIA
butleja02,Jared Butler,Washington Wizards,WAS
butleji01,Jimmy Butler,Miami Heat,MIA
buzelma01,Matas Buzelis,Chicago Bulls,CHI
cainja01,Jamal Cain,New Orleans Pelicans,NOP
caldwke01,Kentavious Caldwell-Pope,Orlando Magic,ORL
camarto01,Toumani Camara,Portland Trail Blazers,POR
cancavl01,Vlatko Cancar,Denver Nuggets,DEN
capelca01,Clint Capela,Atlanta Hawks,ATL
carlsbr01,Branden Carlson,Oklahoma City Thunder,OKC
carrica01,Carlton Carrington,Washington Wizards,WAS
carteje01,Jevon Carter,Chicago Bulls,CHI
cartewe01,Wendell Carter Jr.,Orlando Magic,ORL
cartodj01,D.J. Carton,Toronto Raptors,TOR
carusal01,Alex Caruso,Oklahoma City Thunder,OKC
castlco01,Colin Castleton,Memphis Grizzlies,MEM
castlst01,Stephon Castle,San Antonio Spurs,SAS
champju01,Justin Champagnie,Washington Wizards,WAS
champju02,Julian Champagnie,San Antonio Spurs,SAS
chomcul01,Ulrich Chomche,Toronto Raptors,TOR
chrisma02,Max Christie,Los Angeles Lakers,LAL
cissosi01,Sidy Cissoko,San Antonio Spurs,SAS
clarkbr01,Brandon Clarke,Memphis Grizzlies,MEM
clarkjo01,Jordan Clarkson,Utah Jazz,UTA
claxtni01,Nicolas Claxton,Brooklyn Nets,BRK
clingdo01,Donovan Clingan,Portland Trail Blazers,POR
clownno01,Noah Clowney,Brooklyn Nets,BRK
coffeam01,Amir Coffey,Los Angeles Clippers,LAC
colliis01,Isaiah Collier,Utah Jazz,UTA
collijo01,John Collins,Utah Jazz,UTA
colliza01,Zach Collins,San Antonio Spurs,SAS
conlemi01,Mike Conley,Minnesota Timberwolves,MIN
connapa01,Pat Connaughton,Milwaukee Bucks,MIL
coulibi01,Bilal Coulibaly,Washington Wizards,WAS
councri01,Ricky Council IV,Philadelphia 76ers,PHI
craigto01,Torrey Craig,Chicago Bulls,CHI
cuiyo01,Yongxi Cui,Brooklyn Nets,BRK
cunnica01,Cade Cunningham,Detroit Pistons,DET
curryse01,Seth Curry,Charlotte Hornets,CHO
curryst01,Stephen Curry,Golden State Warriors,GSW
dadiepa01,Pacome Dadiet,New York Knicks,NYK
daniedy01,Dyson Daniels,Atlanta Hawks,ATL
dasiltr01,Tristan Da Silva,Orlando Magic,ORL
davisan02,Anthony Davis,Los Angeles Lakers,LAL
davisjd01,JD Davison,Boston Celtics,BOS
davisjo06,Johnny Davis,Washington Wizards,WAS
derozde01,DeMar DeRozan,Sacramento Kings,SAC
diabamo01,Moussa Diabate,Charlotte Hornets,CHO
dickgr01,Gradey Dick,Toronto Raptors,TOR
diengou01,Ousmane Dieng,Oklahoma City Thunder,OKC
dilliro01,Rob Dillingham,Minnesota Timberwolves,MIN
dinwisp01,Spencer Dinwiddie,Dallas Mavericks,DAL
divindo01,Donte DiVincenzo,Minnesota Timberwolves,MIN
doncilu01,Luka Doncic,Dallas Mavericks,DAL
dortlu01,Luguentz Dort,Oklahoma City Thunder,OKC
dosunay01,Ayo Dosunmu,Chicago Bulls,CHI
dowtije01,Jeff Dowtin,Philadelphia 76ers,PHI
doziepj01,PJ Dozier,Minnesota Timberwolves,MIN
drumman01,Andre Drummond,Philadelphia 76ers,PHI
duartch01,Chris Duarte,Chicago Bulls,CHI
ducasal01,Alex Ducas,Oklahoma City Thunder,OKC
dukeda01,David Duke Jr.,San Antonio Spurs,SAS
dunnkr01,Kris Dunn,Los Angeles Clippers,LAC
dunnry01,Ryan Dunn,Phoenix Suns,PHO
duranke01,Kevin Durant,Phoenix Suns,PHO
durenja01,Jalen Duren,Detroit Pistons,DET
easonta01,Tari Eason,Houston Rockets,HOU
edeyza01,Zach Edey,Memphis Grizzlies,MEM
edwaran01,Anthony Edwards,Minnesota Timberwolves,MIN
edwarju01,Justin Edwards,Philadelphia 76ers,PHI
edwarke02,Kessler Edwards,Dallas Mavericks,DAL
elliske01,Keon Ellis,Sacramento Kings,SAC
embiijo01,Joel Embiid,Philadelphia 76ers,PHI
eubandr01,Drew Eubanks,Utah Jazz,UTA
fernabr01,Bruno Fernando,Toronto Raptors,TOR
filipky01,Kyle Filipowski,Utah Jazz,UTA
finnedo01,Dorian Finney-Smith,Brooklyn Nets,BRK
flaglad01,Adam Flagler,Oklahoma City Thunder,OKC
fontesi01,Simone Fontecchio,Detroit Pistons,DET
foxde01,De'Aaron Fox,Sacramento Kings,SAC
freemen01,Enrique Freeman,Indiana Pacers,IND
furphjo01,Johnny Furphy,Indiana Pacers,IND
gaffoda01,Daniel Gafford,Dallas Mavericks,DAL
garlada01,Darius Garland,Cleveland Cavaliers,CLE
garzalu01,Luka Garza,Minnesota Timberwolves,MIN
georgke01,Keyonte George,Utah Jazz,UTA
georgky01,Kyshawn George,Washington Wizards,WAS
georgpa01,Paul George,Philadelphia 76ers,PHI
gibsota01,Taj Gibson,Charlotte Hornets,CHO
giddejo01,Josh Giddey,Chicago Bulls,CHI
gilgesh01,Shai Gilgeous-Alexander,Oklahoma City Thunder,OKC
gillan01,Anthony Gill,Washington Wizards,WAS
gilleco01,Collin Gillespie,Phoenix Suns,PHO
goberru01,Rudy Gobert,Minnesota Timberwolves,MIN
gordoaa01,Aaron Gordon,Denver Nuggets,DEN
gordoer01,Eric Gordon,Philadelphia 76ers,PHI
gortmja01,Jazian Gortman,Dallas Mavericks,DAL
grantje01,Jerami Grant,Portland Trail Blazers,POR
greenaj01,A.J. Green,Milwaukee Bucks,MIL
greendr01,Draymond Green,Golden State Warriors,GSW
greenja02,Javonte Green,New Orleans Pelicans,NOP
greenja05,Jalen Green,Houston Rockets,HOU
greenje02,Jeff Green,Houston Rockets,HOU
greenjo02,Josh Green,Charlotte Hornets,CHO
grimequ01,Quentin Grimes,Dallas Mavericks,DAL
gueyemo02,Mouhamed Gueye,Atlanta Hawks,ATL
hachiru01,Rui Hachimura,Los Angeles Lakers,LAL
halibty01,Tyrese Haliburton,Indiana Pacers,IND
hallpj01,PJ Hall,Denver Nuggets,DEN
hardati02,Tim Hardaway Jr.,Detroit Pistons,DET
hardeja01,James Harden,Los Angeles Clippers,LAC
hardyja02,Jaden Hardy,Dallas Mavericks,DAL
harriga01,Gary Harris,Orlando Magic,ORL
harrito02,Tobias Harris,Detroit Pistons,DET
harteis01,Isaiah Hartenstein,Oklahoma City Thunder,OKC
hartjo01,Josh Hart,New York Knicks,NYK
hausesa01,Sam Hauser,Boston Celtics,BOS
hawkijo01,Jordan Hawkins,New Orleans Pelicans,NOP
hayesja02,Jaxson Hayes,Los Angeles Lakers,LAL
hendesc01,Scoot Henderson,Portland Trail Blazers,POR
hendrita0,Taylor Hendricks,Utah Jazz,UTA
herroty01,Tyler Herro,Miami Heat,MIA
hieldbu01,Buddy Hield,Golden State Warriors,GSW
highsha01,Haywood Highsmith,Miami Heat,MIA
holidaa01,Aaron Holiday,Houston Rockets,HOU
holidjr01,Jrue Holiday,Boston Celtics,BOS
hollaro01,Ron Holland,Detroit Pistons,DET
holmeri01,Richaun Holmes,Washington Wizards,WAS
holmgch01,Chet Holmgren,Oklahoma City Thunder,OKC
hoodsja01,Jalen Hood-Schifino,Los Angeles Lakers,LAL
horfoal01,Al Horford,Boston Celtics,BOS
hortota01,Talen Horton-Tucker,Chicago Bulls,CHI
houstca01,Caleb Houstan,Orlando Magic,ORL
howarje01,Jett Howard,Orlando Magic,ORL
huertke01,Kevin Huerter,Sacramento Kings,SAC
huffja01,Jay Huff,Memphis Grizzlies,MEM
hukpoar01,Ariel Hukporti,New York Knicks,NYK
huntede01,De'Andre Hunter,Atlanta Hawks,ATL
hylanbo01,Bones Hyland,Los Angeles Clippers,LAC
ighodos01,Oso Ighodaro,Phoenix Suns,PHO
inglejo01,Joe Ingles,Minnesota Timberwolves,MIN
ingrabr01,Brandon Ingram,New Orleans Pelicans,NOP
ingraha01,Harrison Ingram,San Antonio Spurs,SAS
irvinky01,Kyrie Irving,Dallas Mavericks,DAL
isaacjo01,Jonathan Isaac,Orlando Magic,ORL
iveyja01,Jaden Ivey,Detroit Pistons,DET
jacksan01,Andre Jackson Jr.,Milwaukee Bucks,MIL
jacksis01,Isaiah Jackson,Indiana Pacers,IND
jacksja02,Jaren Jackson Jr.,Memphis Grizzlies,MEM
jacksqu01,Quenton Jackson,Indiana Pacers,IND
jacksre01,Reggie Jackson,Philadelphia 76ers,PHI
jackstr02,Trayce Jackson-Davis,Golden State Warriors,GSW
jamesbr02,Bronny James,Los Angeles Lakers,LAL
jamesle01,LeBron James,Los Angeles Lakers,LAL
jaqueja01,Jaime Jaquez Jr.,Miami Heat,MIA
