id,adjusted_odds,board_time,description,line_score,odds_type,projection_type,rank,start_time,stat_display_name,status,today,updated_at,duration_id,league_id,player_id,projection_type_id,stat_type_id
3443541,,2024-12-05T22:10:00-05:00,ORL,17.5,standard,Single Stat,55,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T00:06:14-05:00,11,7,217536,2,19
3443780,,2024-12-05T22:10:00-05:00,ORL,10.5,standard,Single Stat,55,2024-12-06T19:10:00-05:00,Rebs+Asts,pre_game,True,2024-12-06T08:28:47-05:00,11,7,217536,2,245
3443657,,2024-12-05T22:10:00-05:00,ORL,27.5,standard,Single Stat,55,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T11:00:59-05:00,11,7,217536,2,106
3443707,,2024-12-05T22:10:00-05:00,ORL,23.5,standard,Single Stat,55,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T10:27:55-05:00,11,7,217536,2,243
3443725,,2024-12-05T22:10:00-05:00,ORL,22.5,standard,Single Stat,55,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T05:49:36-05:00,11,7,217536,2,244
3443620,,2024-12-05T22:10:00-05:00,ORL,5.0,standard,Single Stat,55,2024-12-06T19:10:00-05:00,Assists,pre_game,True,2024-12-06T09:34:34-05:00,11,7,217536,2,20
3443542,,2024-12-05T22:10:00-05:00,PHI,15.5,standard,Single Stat,56,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T05:50:37-05:00,11,7,53830,2,19
3443658,,2024-12-05T22:10:00-05:00,PHI,23.0,standard,Single Stat,56,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T07:43:51-05:00,11,7,53830,2,106
3443587,,2024-12-05T22:10:00-05:00,PHI,3.5,standard,Single Stat,56,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-05T23:57:47-05:00,11,7,53830,2,22
3443781,,2024-12-05T22:10:00-05:00,PHI,7.5,standard,Single Stat,56,2024-12-06T19:10:00-05:00,Rebs+Asts,pre_game,True,2024-12-06T08:28:01-05:00,11,7,53830,2,245
3443708,,2024-12-05T22:10:00-05:00,PHI,18.5,standard,Single Stat,56,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-05T23:57:47-05:00,11,7,53830,2,243
3443543,,2024-12-05T22:10:00-05:00,ORL,24.0,standard,Single Stat,57,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T11:15:07-05:00,11,7,188005,2,19
3443622,,2024-12-05T22:10:00-05:00,ORL,5.0,standard,Single Stat,57,2024-12-06T19:10:00-05:00,Assists,pre_game,True,2024-12-06T07:49:15-05:00,11,7,188005,2,20
3443709,,2024-12-05T22:10:00-05:00,ORL,27.5,standard,Single Stat,57,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T05:49:36-05:00,11,7,188005,2,243
3443659,,2024-12-05T22:10:00-05:00,ORL,32.5,standard,Single Stat,57,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T05:49:36-05:00,11,7,188005,2,106
3443727,,2024-12-05T22:10:00-05:00,ORL,28.5,standard,Single Stat,57,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T05:49:36-05:00,11,7,188005,2,244
3443853,,2024-12-05T22:10:00-05:00,ORL,1.5,standard,Single Stat,57,2024-12-06T19:10:00-05:00,Blks+Stls,pre_game,True,2024-12-06T00:03:55-05:00,11,7,188005,2,105
3443588,,2024-12-05T22:10:00-05:00,ORL,3.5,standard,Single Stat,57,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-06T10:54:40-05:00,11,7,188005,2,22
3443782,,2024-12-05T22:10:00-05:00,ORL,8.5,standard,Single Stat,57,2024-12-06T19:10:00-05:00,Rebs+Asts,pre_game,True,2024-12-06T08:28:38-05:00,11,7,188005,2,245
3443850,,2024-12-05T22:10:00-05:00,PHI,0.5,standard,Single Stat,58,2024-12-06T19:10:00-05:00,Steals,pre_game,True,2024-12-06T08:26:22-05:00,11,7,1727,2,23
3443589,,2024-12-05T22:10:00-05:00,PHI,4.5,standard,Single Stat,58,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-06T08:11:10-05:00,11,7,1727,2,22
3443710,,2024-12-05T22:10:00-05:00,PHI,10.5,standard,Single Stat,58,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T08:19:16-05:00,11,7,1727,2,243
3443544,,2024-12-05T22:10:00-05:00,PHI,5.5,standard,Single Stat,58,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T07:57:28-05:00,11,7,1727,2,19
