PlayerID,Player,Team,TeamID,Position
allenja01,Jarrett Allen,Cleveland Cavaliers,CLE,C
garlada01,Darius Garland,Cleveland Cavaliers,CLE,PG
jeromty01,Ty Jerome,Cleveland Cavaliers,CLE,SG
leverca01,Caris LeVert,Cleveland Cavaliers,CLE,SG
merrisa01,Sam Merrill,Cleveland Cavaliers,CLE,SG
mitchdo01,Donovan Mitchell,Cleveland Cavaliers,CLE,SG
mobleev01,Evan Mobley,Cleveland Cavaliers,CLE,C
niangge01,Georges Niang,Cleveland Cavaliers,CLE,PF
okorois01,Isaac Okoro,Cleveland Cavaliers,CLE,SG
portecr01,Craig Porter Jr.,Cleveland Cavaliers,CLE,PG
thomptr01,Tristan Thompson,Cleveland Cavaliers,CLE,PF
travelu01,Luke Travers,Cleveland Cavaliers,CLE,SG
tysonja01,Jaylon Tyson,Cleveland Cavaliers,CLE,SG
wadede01,Dean Wade,Cleveland Cavaliers,CLE,PF
dinwisp01,Spencer Dinwiddie,Dallas Mavericks,DAL,PG
doncilu01,Luka Doncic,Dallas Mavericks,DAL,PG
edwarke02,Kessler Edwards,Dallas Mavericks,DAL,SF
gaffoda01,Daniel Gafford,Dallas Mavericks,DAL,PF
gortmja01,Jazian Gortman,Dallas Mavericks,DAL,PG
grimequ01,Quentin Grimes,Dallas Mavericks,DAL,SG
hardyja02,Jaden Hardy,Dallas Mavericks,DAL,SG
irvinky01,Kyrie Irving,Dallas Mavericks,DAL,PG
klebima01,Maxi Kleber,Dallas Mavericks,DAL,PF
livelde01,Dereck Lively II,Dallas Mavericks,DAL,C
marshna01,Naji Marshall,Dallas Mavericks,DAL,SF
morrima02,Markieff Morris,Dallas Mavericks,DAL,PF
poweldw01,Dwight Powell,Dallas Mavericks,DAL,C
prospol01,Olivier-Maxence Prosper,Dallas Mavericks,DAL,PF
thompkl01,Klay Thompson,Dallas Mavericks,DAL,SG
washipj01,P.J. Washington,Dallas Mavericks,DAL,PF
willibr03,Brandon Williams,Dallas Mavericks,DAL,PG
alexatr01,Trey Alexander,Denver Nuggets,DEN,SG
braunch01,Christian Braun,Denver Nuggets,DEN,SG
cancavl01,Vlatko Cancar,Denver Nuggets,DEN,PF
gordoaa01,Aaron Gordon,Denver Nuggets,DEN,PF
jokicni01,Nikola Jokic,Denver Nuggets,DEN,C
jonessp01,Spencer Jones,Denver Nuggets,DEN,SF
jordade01,DeAndre Jordan,Denver Nuggets,DEN,C
murraja01,Jamal Murray,Denver Nuggets,DEN,PG
nnajize01,Zeke Nnaji,Denver Nuggets,DEN,PF
pickeja02,Jalen Pickett,Denver Nuggets,DEN,SG
portemi01,Michael Porter Jr.,Denver Nuggets,DEN,SF
saricda01,Dario Saric,Denver Nuggets,DEN,PF
strawju01,Julian Strawther,Denver Nuggets,DEN,SG
tysonhu01,Hunter Tyson,Denver Nuggets,DEN,PF
watsope01,Peyton Watson,Denver Nuggets,DEN,SG
westbru01,Russell Westbrook,Denver Nuggets,DEN,PG
beaslma01,Malik Beasley,Detroit Pistons,DET,SG
cunnica01,Cade Cunningham,Detroit Pistons,DET,PG
durenja01,Jalen Duren,Detroit Pistons,DET,C
fontesi01,Simone Fontecchio,Detroit Pistons,DET,SF
hardati02,Tim Hardaway Jr.,Detroit Pistons,DET,SG
harrito02,Tobias Harris,Detroit Pistons,DET,PF
hollaro01,Ron Holland,Detroit Pistons,DET,SF
iveyja01,Jaden Ivey,Detroit Pistons,DET,SG
jenkida01,Daniss Jenkins,Detroit Pistons,DET,PG
moorewe01,Wendell Moore Jr.,Detroit Pistons,DET,SG
reedpa01,Paul Reed,Detroit Pistons,DET,PF
sassema01,Marcus Sasser,Detroit Pistons,DET,PG
stewais01,Isaiah Stewart,Detroit Pistons,DET,C
swideco01,Cole Swider,Detroit Pistons,DET,SF
anderky01,Kyle Anderson,Golden State Warriors,GSW,SF
beekmre01,Reece Beekman,Golden State Warriors,GSW,PG
curryst01,Stephen Curry,Golden State Warriors,GSW,PG
greendr01,Draymond Green,Golden State Warriors,GSW,PF
hieldbu01,Buddy Hield,Golden State Warriors,GSW,SG
jackstr02,Trayce Jackson-Davis,Golden State Warriors,GSW,PF
kuminjo01,Jonathan Kuminga,Golden State Warriors,GSW,PF
looneke01,Kevon Looney,Golden State Warriors,GSW,PF
meltode01,De'Anthony Melton,Golden State Warriors,GSW,PG
moodymo01,Moses Moody,Golden State Warriors,GSW,SG
paytoga02,Gary Payton II,Golden State Warriors,GSW,PG
podzibr01,Brandin Podziemski,Golden State Warriors,GSW,SG
santogu01,Gui Santos,Golden State Warriors,GSW,PF
spencpa01,Pat Spencer,Golden State Warriors,GSW,PG
waterli01,Lindy Waters III,Golden State Warriors,GSW,SG
wiggian01,Andrew Wiggins,Golden State Warriors,GSW,SF
adamsst01,Steven Adams,Houston Rockets,HOU,C
brookdi01,Dillon Brooks,Houston Rockets,HOU,SG
easonta01,Tari Eason,Houston Rockets,HOU,SF
greenja05,Jalen Green,Houston Rockets,HOU,SG
greenje02,Jeff Green,Houston Rockets,HOU,PF
holidaa01,Aaron Holiday,Houston Rockets,HOU,PG
landajo01,Jock Landale,Houston Rockets,HOU,C
mcveija01,Jack McVeigh,Houston Rockets,HOU,PF
sengual01,Alperen Sengun,Houston Rockets,HOU,C
