Player,PlayerID,Age,TeamID,GP,PTS,REB,AST,STL,BLK,TOV,PF,OffREB,DefREB,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,2P,2PA,2P%,PTS_GP,REB_GP,AST_GP,STL_GP,BLK_GP,MP_GP
Dalton Knecht,knechda01,23,LAL,22,245,74,25,12,1,11,31,14,60,533,90,191,47.1,48,119,40.3,17,22,77.3,42,72,58.3,11.13636364,3.363636364,1.136363636,0.545454545,0.045454545,24.22727273
Scottie Barnes,barnesc01,23,TOR,11,242,93,79,15,7,41,23,24,69,374,88,189,46.6,18,62,29,48,67,71.6,70,127,55.1,22,8.454545455,7.181818182,1.363636364,0.636363636,34
Stephon Castle,castlst01,20,SAS,21,242,53,77,16,9,38,36,17,36,572,85,220,38.6,25,89,28.1,47,65,72.3,60,131,45.8,11.52380952,2.523809524,3.666666667,0.761904762,0.428571429,27.23809524
Clint Capela,capelca01,30,ATL,23,241,219,31,16,22,19,44,83,136,525,107,183,58.5,0,0,0,27,48,56.3,107,183,58.5,10.47826087,9.52173913,1.347826087,0.695652174,0.956521739,22.82608696
Keldon Johnson,johnske04,25,SAS,20,241,111,33,14,4,14,36,20,91,523,88,201,43.8,24,80,30,41,54,75.9,64,121,52.9,12.05,5.55,1.65,0.7,0.2,26.15
Tyus Jones,jonesty01,28,PHO,20,234,52,141,21,2,21,21,13,39,650,91,191,47.6,41,103,39.8,11,14,78.6,50,88,56.8,11.7,2.6,7.05,1.05,0.1,32.5
Onyeka Okongwu,okongon01,24,ATL,21,234,137,34,15,15,19,44,48,89,497,90,167,53.9,8,38,21.1,46,57,80.7,82,129,63.6,11.14285714,6.523809524,1.619047619,0.714285714,0.714285714,23.66666667
Harrison Barnes,barneha02,32,SAS,21,233,99,34,6,4,17,17,37,62,607,77,156,49.4,30,68,44.1,49,61,80.3,47,88,53.4,11.0952381,4.714285714,1.619047619,0.285714286,0.19047619,28.9047619
Malik Monk,monkma01,26,SAC,15,232,51,67,13,8,18,34,1,50,419,83,177,46.9,34,88,38.6,32,39,82.1,49,89,55.1,15.46666667,3.4,4.466666667,0.866666667,0.533333333,27.93333333
Naji Marshall,marshna01,27,DAL,20,231,67,48,19,2,29,31,23,44,482,93,171,54.4,15,51,29.4,30,34,88.2,78,120,65,11.55,3.35,2.4,0.95,0.1,24.1
T.J. McConnell,mccontj01,32,IND,22,229,58,86,29,5,36,24,12,46,432,105,187,56.1,2,8,25,17,23,73.9,103,179,57.5,10.40909091,2.636363636,3.909090909,1.318181818,0.227272727,19.63636364
Klay Thompson,thompkl01,34,DAL,18,229,63,34,12,7,18,23,12,51,505,81,214,37.9,50,139,36,17,18,94.4,31,75,41.3,12.72222222,3.5,1.888888889,0.666666667,0.388888889,28.05555556
