Season,GameID,Date,Game,Player,PlayerID,Team,TeamID,Is_Home,Opp,PTS,REB,AST,STL,BLK,TOV,MP,OffREB,DefREB,FG,FGA,3P,3PA,FT,FTA,PF
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Lindy Waters III,waterli01,Golden State Warriors,GSW,0,CLE,2,0,0,0,0,0,4.733333333,0,0,1,2,0,1,0,0,1
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Luka Doncic,doncilu01,Dallas Mavericks,DAL,1,PHO,30,7,7,1,0,3,42.18333333,0,7,11,25,5,12,3,3,3
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Kyrie Irving,irvinky01,Dallas Mavericks,DAL,1,PHO,29,7,6,3,0,2,40.76666667,2,5,10,17,2,6,7,9,1
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Klay Thompson,thompkl01,Dallas Mavericks,DAL,1,PHO,12,4,2,0,0,1,33.76666667,0,4,4,13,1,7,3,3,3
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Naji Marshall,marshna01,Dallas Mavericks,DAL,1,PHO,18,5,0,0,0,3,29.31666667,2,3,7,12,2,6,2,2,2
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Daniel Gafford,gaffoda01,Dallas Mavericks,DAL,1,PHO,15,7,0,0,0,1,23.13333333,3,4,6,7,0,0,3,3,6
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Spencer Dinwiddie,dinwisp01,Dallas Mavericks,DAL,1,PHO,3,0,2,1,0,0,28.35,0,0,1,2,1,1,0,0,1
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Dwight Powell,poweldw01,Dallas Mavericks,DAL,1,PHO,4,6,1,0,1,0,24.85,1,5,1,1,0,0,2,2,5
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Quentin Grimes,grimequ01,Dallas Mavericks,DAL,1,PHO,2,2,0,0,0,0,9.35,0,2,1,1,0,0,0,0,1
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Jaden Hardy,hardyja02,Dallas Mavericks,DAL,1,PHO,0,0,0,0,0,0,3.483333333,0,0,0,0,0,0,0,0,0
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Olivier-Maxence Prosper,prospol01,Dallas Mavericks,DAL,1,PHO,0,1,0,0,0,0,3.266666667,0,1,0,1,0,0,0,0,0
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Kessler Edwards,edwarke02,Dallas Mavericks,DAL,1,PHO,0,0,0,0,0,1,1.5,0,0,0,1,0,1,0,0,0
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Kevin Durant,duranke01,Phoenix Suns,PHO,0,DAL,26,5,4,1,2,1,36.96666667,1,4,8,14,3,6,7,7,2
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Bradley Beal,bealbr01,Phoenix Suns,PHO,0,DAL,15,4,3,0,0,1,36.43333333,2,2,6,17,1,7,2,2,3
2024-25,202411080DAL,11/8/2024,DAL vs PHO,Devin Booker,bookede01,Phoenix Suns,PHO,0,DAL,13,6,12,0,0,0,34.53333333,2,4,5,13,1,8,2,2,2
